driverId,raceId,finalPosition,gridPosition,points,qual1,qual2,qual3
832,1140,1,1,25.0,00:01:16.7780000,00:01:16.5150000,00:01:15.9460000
832,1141,-1,0,0.0,00:01:30.3030000,00:01:29.4060000,NULL
832,1142,3,2,15.0,00:01:33.4840000,00:01:32.7110000,00:01:32.4100000
832,1143,6,7,8.0,00:01:21.4470000,00:01:21.1990000,00:01:21.0410000
832,1144,2,3,18.0,00:01:23.4870000,00:01:22.9850000,00:01:22.8240000
833,927,15,19,0.0,00:01:46.6770000,NULL,NULL
833,928,16,20,0.0,00:01:42.8420000,NULL,NULL
833,929,17,19,0.0,00:01:39.7220000,NULL,NULL
833,930,18,20,0.0,00:01:32.0380000,NULL,NULL
833,931,16,19,0.0,00:01:20.9040000,NULL,NULL
833,932,-1,16,0.0,00:01:19.1330000,NULL,NULL
833,933,14,16,0.0,00:01:14.0710000,NULL,NULL
833,934,12,20,0.0,00:01:39.3770000,NULL,NULL
833,936,15,19,0.0,00:01:27.4160000,NULL,NULL
833,937,15,17,0.0,00:01:53.0990000,NULL,NULL
833,938,16,14,0.0,00:01:27.9120000,NULL,NULL
833,941,13,18,0.0,00:01:43.8040000,NULL,NULL
833,945,19,20,0.0,00:01:47.4340000,NULL,NULL
834,939,14,20,0.0,00:01:51.5230000,NULL,NULL
834,940,18,19,0.0,00:01:47.1140000,NULL,NULL
834,943,15,16,0.0,00:01:24.1360000,NULL,NULL
834,944,18,17,0.0,00:01:16.1510000,NULL,NULL
835,948,11,13,0.0,00:01:27.2410000,00:01:27.6010000,NULL
835,949,-1,19,0.0,00:01:33.4380000,NULL,NULL
835,950,22,19,0.0,00:01:39.5280000,NULL,NULL
835,951,13,18,0.0,00:01:39.0090000,NULL,NULL
835,952,13,17,0.0,00:01:24.9030000,NULL,NULL
835,953,-1,18,0.0,00:01:16.5860000,NULL,NULL
835,954,-1,16,0.0,00:01:15.4590000,NULL,NULL
835,955,15,21,0.0,00:01:46.3940000,NULL,NULL
835,956,12,19,0.0,00:01:07.9650000,NULL,NULL
835,957,-1,18,0.0,00:01:32.9050000,NULL,NULL
835,958,12,17,0.0,00:01:43.9650000,NULL,NULL
835,959,19,14,0.0,00:01:16.6360000,00:01:16.6650000,NULL
835,960,15,13,0.0,00:01:48.9010000,00:01:48.8880000,NULL
